термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
каузатив,89.7,1.2,34.1,69.5,71.5,70.5,78.4,79.0,0.3757,89.53,123.0
причастный,88.8,59.8,108.6,128.5,82.3,60.6,63.0,98.7,0.3245,92.72,123.0
окончание,88.71,406.9,150.0,92.3,74.0,51.1,74.1,92.2,0.37,91.7,123.0
коммуникант,88.65,0.0,0.0,12.4,67.0,88.1,72.5,45.6,0.305,92.7,120.0
интонационный,88.54,81.4,52.1,115.5,122.2,78.1,43.1,32.0,0.2781,92.65,123.0
дериват,88.28,0.0,13.2,57.5,67.4,76.0,70.7,164.1,0.2595,93.86,123.0
персидский,87.27,22.7,217.0,140.7,55.5,44.2,72.4,74.8,0.4616,89.46,123.0
перфектив,87.19,2.4,8.8,10.4,20.9,24.8,153.7,182.0,0.6396,78.63,120.0
социолингвистика,86.62,1.2,2.6,26.4,58.0,74.8,72.8,299.0,0.266,92.84,123.0
марийский,86.51,2.4,45.1,43.9,60.8,55.7,97.8,48.0,0.6136,83.59,114.0
флексия,86.42,53.9,15.5,34.0,73.1,70.7,79.0,85.1,0.2289,94.55,123.0
бурятский,84.87,8.4,18.3,22.8,96.9,75.3,67.2,80.4,0.5648,83.17,122.0
сленг,84.79,1.2,0.2,4.9,33.8,96.1,63.6,20.7,0.424,88.44,119.0
тезаурус,84.75,0.0,7.8,19.6,47.2,86.9,67.5,35.7,0.2169,94.29,122.0
числительный,84.51,148.4,82.0,65.2,91.7,74.1,51.7,39.0,0.2738,92.92,123.0
междометие,84.31,37.1,29.4,39.7,71.8,72.1,70.1,84.6,0.41700000000000004,89.42,123.0
топонимический,83.43,23.9,56.2,53.0,90.6,55.7,76.8,131.7,0.307,92.5,123.0
орфографический,83.31,293.2,83.8,50.4,64.6,58.6,71.5,129.8,0.2726,93.77,123.0
монолог,82.44,64.6,46.9,87.8,102.6,70.8,50.2,21.2,0.2509,93.98,123.0
